source,source_id,name_vi,name_en,category,nang_luong_kcal,chat_dam_g,chat_beo_g,chat_bot_duong_g,vitamin_a_mcg,beta_carotene_mcg,vitamin_c_mg,calcium_mg,iron_mg,zinc_mg,sodium_mg,cholesterol_mg,magnesium_mg,transfat_mg,canonical_name_en,alias_vi,source_priority,match_type,confidence_score,canonical_key,is_estimated
NIN,HAP-223025,Tiết luộc,Boiled pig blood,Các món khác,65.9,11.4,0.2,4.6,113.0,776.1,21.8,42.9,38.3,0.2,553.4,0.0,24.9,0.0,Boiled pig blood,Tiết luộc,1,canonical_nin,1.0,boiled pig blood,False
NIN,VPF-000432,Cá trích hộp sốt cà chua,Canned herring in tomato sauce,Các món chế biến sẵn,198.0,19.0,12.2,3.0,24.0,0.0,0.0,0.0,0.0,0.0,605.0,0.0,0.0,0.0,Canned herring in tomato sauce,Cá trích hộp sốt cà chua,1,canonical_nin,1.0,canned herring in tomato sauce,False
NIN,VPF-000431,Cá nục sốt cà chua (cá hộp),Canned mackerel in tomato sauce,Các món chế biến sẵn,177.0,16.9,10.9,2.7,21.3,0.0,0.0,0.0,0.0,0.0,0.0,39.5,0.0,0.0,Canned mackerel in tomato sauce,Cá nục sốt cà chua (cá hộp),1,canonical_nin,1.0,canned mackerel in tomato sauce,False
NIN,VPF-000430,Cá ngừ hộp,Cá ngừ hộp,Các món chế biến sẵn,127.0,14.5,7.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,0.0,0.0,Cá ngừ hộp,Cá ngừ hộp,1,canonical_nin,1.0,cá ngừ hộp,False
NIN,VPF-000429,Mít khô,Dried jackfruit,Các loại trái cây,120.0,2.0,3.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dried jackfruit,Mít khô,1,canonical_nin,1.0,dried jackfruit,False
NIN,VPF-000428,Chuối khô,Dried bananas,Các loại trái cây,161.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dried bananas,Chuối khô,1,canonical_nin,1.0,dried bananas,False
NIN,VPF-000427,Xoài,Mango,Các loại trái cây,55.0,0.5,0.2,12.7,0.0,356.0,24.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,Mango,Xoài,1,canonical_nin,1.0,mango,False
NIN,VPF-000426,Vú sữa,Star apple,Các loại trái cây,49.0,1.2,0.0,11.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Star apple,Vú sữa,1,canonical_nin,1.0,star apple,False
NIN,VPF-000425,Vải thiều,Lychee,Các loại trái cây,67.0,1.1,0.0,15.6,0.0,0.0,56.2,0.0,0.0,0.0,1.56,0.0,0.0,0.0,Lychee,Vải thiều,1,canonical_nin,1.0,lychee,False
NIN,VPF-000424,Thanh long,Dragon fruit,Các loại trái cây,32.0,1.0,0.1,7.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dragon fruit,Thanh long,1,canonical_nin,1.0,dragon fruit,False
NIN,VPF-000423,Táo tây,Apple,Các loại trái cây,38.0,0.4,0.0,9.0,0.0,22.0,5.6,0.0,0.0,0.0,12.0,0.16,0.0,0.0,Apple,Táo tây,1,canonical_nin,1.0,apple,False
NIN,VPF-000422,Táo ta,Jujube,Các loại trái cây,127.0,2.7,0.7,27.7,0.0,19.0,80.1,0.0,0.0,0.0,10.0,0.0,0.0,0.0,Jujube,Táo ta,1,canonical_nin,1.0,jujube,False
NIN,VPF-000421,Sầu riêng,Durian,Các loại trái cây,100.0,1.8,1.2,20.7,0.0,17.0,27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Durian,Sầu riêng,1,canonical_nin,1.0,durian,False
NIN,VPF-000420,Quýt,Mandarin orange,Các loại trái cây,39.0,0.8,0.0,8.8,0.0,98.0,56.2,0.0,0.0,0.0,4.1,0.0,0.0,0.0,Mandarin orange,Quýt,1,canonical_nin,1.0,mandarin orange,False
NIN,VPF-000419,Quả kiwi,Kiwi fruit,Các loại trái cây,63.0,1.1,0.4,14.0,0.0,68.0,89.4,0.0,0.0,0.0,2.2,0.0,0.0,0.0,Kiwi fruit,Quả kiwi,1,canonical_nin,1.0,kiwi fruit,False
NIN,VPF-000418,Quả bơ vỏ xanh,Green-skinned avocado,Các loại trái cây,138.0,2.6,12.9,3.2,0.0,72.6,23.3,0.0,0.0,0.0,2.7,0.0,0.0,0.0,Green-skinned avocado,Quả bơ vỏ xanh,1,canonical_nin,1.0,green-skinned avocado,False
NIN,VPF-000417,Ổi,Guava,Các loại trái cây,26.0,0.5,0.0,6.2,0.0,299.0,49.6,0.0,0.0,0.0,3.2,0.0,0.0,0.0,Guava,Ổi,1,canonical_nin,1.0,guava,False
NIN,VPF-000416,Nho ngọt,Sweet grapes,Các loại trái cây,54.0,0.3,0.0,13.2,0.0,31.0,2.4,0.0,0.0,0.0,0.8,0.0,0.0,0.0,Sweet grapes,Nho ngọt,1,canonical_nin,1.0,sweet grapes,False
NIN,VPF-000415,Nhãn,Longan,Các loại trái cây,38.0,0.7,0.0,8.8,0.0,0.0,46.3,0.0,0.0,0.0,20.7,0.0,0.0,0.0,Longan,Nhãn,1,canonical_nin,1.0,longan,False
NIN,VPF-000414,Na,Custard apple,Các loại trái cây,51.0,1.3,0.0,11.6,0.0,0.0,28.8,0.0,0.0,0.0,17.6,0.0,0.0,0.0,Custard apple,Na,1,canonical_nin,1.0,custard apple,False
NIN,VPF-000413,Mận cơm,Plum,Các loại trái cây,16.0,0.5,0.2,3.1,0.0,92.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Plum,Mận cơm,1,canonical_nin,1.0,plum,False
NIN,VPF-000412,Mít dai,Jackfruit,Các loại trái cây,69.0,0.9,0.0,16.4,0.0,259.2,7.2,0.0,0.0,0.0,4.3,0.0,0.0,0.0,Jackfruit,Mít dai,1,canonical_nin,1.0,jackfruit,False
NIN,VPF-000411,Măng cụt,Mangosteen,Các loại trái cây,19.0,0.2,0.1,4.9,0.0,0.0,0.9,0.0,0.0,0.0,0.3,0.0,0.0,0.0,Mangosteen,Măng cụt,1,canonical_nin,1.0,mangosteen,False
NIN,VPF-000410,Lê,Pear,Các loại trái cây,167.0,2.6,0.7,37.7,0.0,113.0,14.8,0.0,0.0,0.0,18.5,0.0,0.0,0.0,Pear,Lê,1,canonical_nin,1.0,pear,False
NIN,VPF-000409,Hồng xiêm (sapochê),Sapodilla,Các loại trái cây,38.0,0.4,0.6,8.0,0.0,0.0,6.4,0.0,0.0,0.0,17.6,0.0,0.0,0.0,Sapodilla,Hồng xiêm (sapochê),1,canonical_nin,1.0,sapodilla,False
NIN,VPF-000408,Gioi (mận),Plum,Các loại trái cây,38.0,0.9,0.0,8.3,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Plum,Gioi (mận),1,canonical_nin,1.0,plum,False
NIN,VPF-000407,Đu đủ,Papaya,Các loại trái cây,28.0,0.8,0.0,6.2,0.0,221.0,43.2,0.0,0.0,0.0,3.2,0.0,0.0,0.0,Papaya,Đu đủ,1,canonical_nin,1.0,papaya,False
NIN,VPF-000406,Đào,Peach,Các loại trái cây,68.0,2.0,0.4,13.9,0.0,356.4,22.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,Peach,Đào,1,canonical_nin,1.0,peach,False
NIN,VPF-000405,Dứa ta,Pineapple,Các loại trái cây,23.0,0.6,0.0,5.2,0.0,32.0,19.2,0.0,0.0,0.0,19.2,0.0,0.0,0.0,Pineapple,Dứa ta,1,canonical_nin,1.0,pineapple,False
