alias_id,canonical_key,canonical_name_en,alias_text,alias_lang,alias_type,is_preferred,source,source_priority
ALIAS-000001,boiled pig blood,Boiled pig blood,Tiết luộc,vi,display,True,NIN,1
ALIAS-000002,canned herring in tomato sauce,Canned herring in tomato sauce,Cá trích hộp sốt cà chua,vi,display,True,NIN,1
ALIAS-000003,canned mackerel in tomato sauce,Canned mackerel in tomato sauce,Cá nục sốt cà chua (cá hộp),vi,display,True,NIN,1
ALIAS-000004,cá ngừ hộp,Cá ngừ hộp,Cá ngừ hộp,vi,display,True,NIN,1
ALIAS-000005,dried jackfruit,Dried jackfruit,Mít khô,vi,display,True,NIN,1
ALIAS-000006,dried bananas,Dried bananas,Chuối khô,vi,display,True,NIN,1
ALIAS-000007,mango,Mango,Xoài,vi,display,True,NIN,1
ALIAS-000008,star apple,Star apple,Vú sữa,vi,display,True,NIN,1
ALIAS-000009,lychee,Lychee,Vải thiều,vi,display,True,NIN,1
ALIAS-000010,dragon fruit,Dragon fruit,Thanh long,vi,display,True,NIN,1
ALIAS-000011,apple,Apple,Táo tây,vi,display,True,NIN,1
ALIAS-000012,jujube,Jujube,Táo ta,vi,display,True,NIN,1
ALIAS-000013,durian,Durian,Sầu riêng,vi,display,True,NIN,1
ALIAS-000014,mandarin orange,Mandarin orange,Quýt,vi,display,True,NIN,1
ALIAS-000015,kiwi fruit,Kiwi fruit,Quả kiwi,vi,display,True,NIN,1
ALIAS-000016,green-skinned avocado,Green-skinned avocado,Quả bơ vỏ xanh,vi,display,True,NIN,1
ALIAS-000017,guava,Guava,Ổi,vi,display,True,NIN,1
ALIAS-000018,sweet grapes,Sweet grapes,Nho ngọt,vi,display,True,NIN,1
ALIAS-000019,longan,Longan,Nhãn,vi,display,True,NIN,1
ALIAS-000020,custard apple,Custard apple,Na,vi,display,True,NIN,1
ALIAS-000021,plum,Plum,Mận cơm,vi,display,True,NIN,1
ALIAS-000022,jackfruit,Jackfruit,Mít dai,vi,display,True,NIN,1
ALIAS-000023,mangosteen,Mangosteen,Măng cụt,vi,display,True,NIN,1
ALIAS-000024,pear,Pear,Lê,vi,display,True,NIN,1
ALIAS-000025,sapodilla,Sapodilla,Hồng xiêm (sapochê),vi,display,True,NIN,1
ALIAS-000026,plum,Plum,Gioi (mận),vi,display,True,NIN,1
ALIAS-000027,papaya,Papaya,Đu đủ,vi,display,True,NIN,1
ALIAS-000028,peach,Peach,Đào,vi,display,True,NIN,1
