page,stt,ma_so,nhom,ten_mon_an,ten_mon_an_en,nang_luong,nang_luong_don_vi,chat_dam,chat_beo,chat_bot_duong
1,1,HAP-223025,Các món khác,Tiết luộc,Boiled pig blood,65.9,Kcal,11.4,0.2,4.6
1,2,VPF-000432,Các món chế biến sẵn,Cá trích hộp sốt cà chua,Canned herring in tomato sauce,198,Kcal,19,12.2,3
1,3,VPF-000431,Các món chế biến sẵn,Cá nục sốt cà chua (cá hộp),Canned mackerel in tomato sauce,177,Kcal,16.9,10.9,2.7
1,4,VPF-000430,Các món chế biến sẵn,Cá ngừ hộp,Cá ngừ hộp,127,Kcal,14.5,7.6,0.1
1,5,VPF-000429,Các loại trái cây,Mít khô,Dried jackfruit,120,Kcal,2,3,22
1,6,VPF-000428,Các loại trái cây,Chuối khô,Dried bananas,161,Kcal,0.5,,
1,7,VPF-000427,Các loại trái cây,Xoài,Mango,55,Kcal,0.5,0.2,12.7
1,8,VPF-000426,Các loại trái cây,Vú sữa,Star apple,49,Kcal,1.2,,11
1,9,VPF-000425,Các loại trái cây,Vải thiều,Lychee,67,Kcal,1.1,,15.6
1,10,VPF-000424,Các loại trái cây,Thanh long,Dragon fruit,32,Kcal,1,0.1,7
1,11,VPF-000423,Các loại trái cây,Táo tây,Apple,38,Kcal,0.4,,9
1,12,VPF-000422,Các loại trái cây,Táo ta,Jujube,127,Kcal,2.7,0.7,27.7
1,13,VPF-000421,Các loại trái cây,Sầu riêng,Durian,100,Kcal,1.8,1.2,20.7
1,14,VPF-000420,Các loại trái cây,Quýt,Mandarin orange,39,Kcal,0.8,,8.8
1,15,VPF-000419,Các loại trái cây,Quả kiwi,Kiwi fruit,63,Kcal,1.1,0.4,14
2,1,VPF-000418,Các loại trái cây,Quả bơ vỏ xanh,Green-skinned avocado,138,Kcal,2.6,12.9,3.2
2,2,VPF-000417,Các loại trái cây,Ổi,Guava,26,Kcal,0.5,,6.2
2,3,VPF-000416,Các loại trái cây,Nho ngọt,Sweet grapes,54,Kcal,0.3,,13.2
2,4,VPF-000415,Các loại trái cây,Nhãn,Longan,38,Kcal,0.7,,8.8
2,5,VPF-000414,Các loại trái cây,Na,Custard apple,51,Kcal,1.3,,11.6
2,6,VPF-000413,Các loại trái cây,Mận cơm,Plum,16,Kcal,0.5,0.2,3.1
2,7,VPF-000412,Các loại trái cây,Mít dai,Jackfruit,69,Kcal,0.9,,16.4
2,8,VPF-000411,Các loại trái cây,Măng cụt,Mangosteen,19,Kcal,0.2,0.1,4.9
2,9,VPF-000410,Các loại trái cây,Lê,Pear,167,Kcal,2.6,0.7,37.7
2,10,VPF-000409,Các loại trái cây,Hồng xiêm (sapochê),Sapodilla,38,Kcal,0.4,0.6,8
2,11,VPF-000408,Các loại trái cây,Gioi (mận),Plum,38,Kcal,0.9,,8.3
2,12,VPF-000407,Các loại trái cây,Đu đủ,Papaya,28,Kcal,0.8,,6.2
2,13,VPF-000406,Các loại trái cây,Đào,Peach,68,Kcal,2,0.4,13.9
2,14,VPF-000405,Các loại trái cây,Dứa ta,Pineapple,23,Kcal,0.6,,5.2
2,15,VPF-000404,Các loại trái cây,Dưa vàng,Yellow melon,13,Kcal,0.2,,3
3,1,VPF-000403,Các loại trái cây,Dưa lê,Oriental melon,32,Kcal,0.7,,7.6
3,2,VPF-000402,Các loại trái cây,Dưa hấu,Watermelon,16,Kcal,1.2,0.2,2.3
3,3,VPF-000401,Các loại trái cây,Chuối tiêu,Lady finger banana,92,Kcal,1.4,0.2,21
3,4,VPF-000400,Các loại trái cây,Chuối tây,Cavendish banana,48,Kcal,0.6,0.2,10.8
3,5,VPF-000399,Các loại trái cây,Chôm chôm,Rambutan,58,Kcal,1.2,,
3,6,VPF-000398,Các loại trái cây,Cam,Orange,36,Kcal,0.9,,8.2
3,7,VPF-000397,Các loại trái cây,Bưởi,Pomelo,24,Kcal,0.2,,5.8
3,8,VPF-000396,"Các món trứng, sữa và chế phẩm",Phô mai tam giác,Triangle cheese,58,Kcal,3.8,4.8,
3,9,VPF-000395,"Các món trứng, sữa và chế phẩm",Váng sữa Monte,Monte cream dessert,90,Kcal,1.5,5.5,8.3
3,10,VPF-000394,"Các món trứng, sữa và chế phẩm",Sữa tươi tiệt trùng không đường TH True Milk,TH True Milk UHT fresh milk (unsweetened),110,Kcal,5.4,5.9,8.8
3,11,VPF-000393,"Các món trứng, sữa và chế phẩm",Sữa tươi tiệt trùng có đường Vinamilk,Vinamilk UHT fresh milk (sweetened),137,Kcal,5,6.3,14.4
3,12,VPF-000392,"Các món trứng, sữa và chế phẩm",Sữa Milo,Milo chocolate malt drink,110,Kcal,2.8,3.5,17
3,13,VPF-000391,"Các món trứng, sữa và chế phẩm",Sữa đặc có đường,Sweetened condensed milk,134,Kcal,3.2,3.5,22.4
3,14,VPF-000390,"Các món trứng, sữa và chế phẩm",Sữa đậu nành,Soy milk,108.6,Kcal,3.8,2.2,18.4
3,15,VPF-000389,"Các món trứng, sữa và chế phẩm",Sữa dê thanh trùng không đường,Pasteurized goat milk (unsweetened),138,Kcal,7,8.2,4.5
4,1,VPF-000388,"Các món trứng, sữa và chế phẩm",Sữa chua uống Yakult,Yakult probiotic drink,53,Kcal,0.8,0.1,12.4
4,2,VPF-000387,"Các món trứng, sữa và chế phẩm",Sữa chua không đường TH True Yogurt,TH True Yogurt unsweetened yogurt,61,Kcal,3.3,3.7,3.6
4,3,VPF-000386,"Các món trứng, sữa và chế phẩm",Sữa chua có đường Ba Vì,Ba Vi sweetened yogurt,103,Kcal,2.9,2.9,16.2
4,4,VPF-000385,"Các món trứng, sữa và chế phẩm",Sữa bột toàn phần,Whole milk powder,171,Kcal,6.8,8.2,17.4
4,5,VPF-000384,"Các món trứng, sữa và chế phẩm",Sữa bột tách béo,Skim milk powder,130,Kcal,12.6,0.4,18
4,6,VPF-000383,"Các món trứng, sữa và chế phẩm",Sữa bò tươi thanh trùng không đường TH True Milk,TH True Milk pasteurized fresh milk (unsweetened),138,Kcal,7,7.7,10.1
4,7,VPF-000382,"Các món trứng, sữa và chế phẩm",Sữa bò tươi thanh trùng có đường Mộc Châu,Moc Chau pasteurized fresh milk with sugar,178,Kcal,6.8,7.7,20.9
4,8,VPF-000381,"Các món trứng, sữa và chế phẩm",Trứng vịt rán,Fried duck eggs,218,Kcal,15.3,17,1
4,9,VPF-000380,"Các món trứng, sữa và chế phẩm",Trứng vịt luộc,Trứng vịt luộc,105,Kcal,7.4,8.1,0.6
4,10,VPF-000379,"Các món trứng, sữa và chế phẩm",Trứng vịt lộn,Balut,82,Kcal,6.1,5.6,1.8
