page,stt,ma_so,nhom,ten_mon_an,ten_mon_an_en,nang_luong_kcal,chat_dam_g,chat_beo_g,chat_bot_duong_g,vitamin_a_mcg,beta_carotene_mcg,vitamin_c_mg,calcium_mg,iron_mg,zinc_mg,sodium_mg,cholesterol_mg,magnesium_mg,transfat_mg
1,1,HAP-223025,Các món khác,Tiết luộc,Boiled pig blood,65.9,11.4,0.2,4.6,113.0,776.1,21.8,42.9,38.3,0.2,553.4,,24.9,
1,2,VPF-000432,Các món chế biến sẵn,Cá trích hộp sốt cà chua,Canned herring in tomato sauce,198.0,19.0,12.2,3.0,24.0,,,,,,605.0,,,
1,3,VPF-000431,Các món chế biến sẵn,Cá nục sốt cà chua (cá hộp),Canned mackerel in tomato sauce,177.0,16.9,10.9,2.7,21.3,,,,,,,39.5,,
1,4,VPF-000430,Các món chế biến sẵn,Cá ngừ hộp,Cá ngừ hộp,127.0,14.5,7.6,0.1,,,,,,,,18.4,,
1,5,VPF-000429,Các loại trái cây,Mít khô,Dried jackfruit,120.0,2.0,3.0,22.0,,,,,,,,,,
1,6,VPF-000428,Các loại trái cây,Chuối khô,Dried bananas,161.0,0.5,,,,,,,,,,,,
1,7,VPF-000427,Các loại trái cây,Xoài,Mango,55.0,0.5,0.2,12.7,,356.0,24.0,,,,1.6,,,
1,8,VPF-000426,Các loại trái cây,Vú sữa,Star apple,49.0,1.2,,11.0,,,5.0,,,,,,,
1,9,VPF-000425,Các loại trái cây,Vải thiều,Lychee,67.0,1.1,,15.6,,,56.2,,,,1.56,,,
1,10,VPF-000424,Các loại trái cây,Thanh long,Dragon fruit,32.0,1.0,0.1,7.0,,,7.7,,,,,,,
1,11,VPF-000423,Các loại trái cây,Táo tây,Apple,38.0,0.4,,9.0,,22.0,5.6,,,,12.0,0.16,,
1,12,VPF-000422,Các loại trái cây,Táo ta,Jujube,127.0,2.7,0.7,27.7,,19.0,80.1,,,,10.0,,,
1,13,VPF-000421,Các loại trái cây,Sầu riêng,Durian,100.0,1.8,1.2,20.7,,17.0,27.0,,,,1.0,,,
1,14,VPF-000420,Các loại trái cây,Quýt,Mandarin orange,39.0,0.8,,8.8,,98.0,56.2,,,,4.1,,,
1,15,VPF-000419,Các loại trái cây,Quả kiwi,Kiwi fruit,63.0,1.1,0.4,14.0,,68.0,89.4,,,,2.2,,,
2,1,VPF-000418,Các loại trái cây,Quả bơ vỏ xanh,Green-skinned avocado,138.0,2.6,12.9,3.2,,72.6,23.3,,,,2.7,,,
2,2,VPF-000417,Các loại trái cây,Ổi,Guava,26.0,0.5,,6.2,,299.0,49.6,,,,3.2,,,
2,3,VPF-000416,Các loại trái cây,Nho ngọt,Sweet grapes,54.0,0.3,,13.2,,31.0,2.4,,,,0.8,,,
2,4,VPF-000415,Các loại trái cây,Nhãn,Longan,38.0,0.7,,8.8,,,46.3,,,,20.7,,,
2,5,VPF-000414,Các loại trái cây,Na,Custard apple,51.0,1.3,,11.6,,,28.8,,,,17.6,,,
2,6,VPF-000413,Các loại trái cây,Mận cơm,Plum,16.0,0.5,0.2,3.1,,92.0,2.4,,,,,,,
