source,source_id,name_vi,name_en,category,category_en,nang_luong_kcal,chat_dam_g,chat_beo_g,chat_bot_duong_g,vitamin_a_mcg,beta_carotene_mcg,vitamin_c_mg,calcium_mg,iron_mg,zinc_mg,sodium_mg,cholesterol_mg,magnesium_mg,transfat_mg,canonical_name_en,alias_vi,source_priority,match_type,confidence_score,canonical_key,is_estimated,tags
VDD,10001,Sữa bò tươi,"Milk cow, fresh (Fluid)",Sữa và sản phẩm chế biến,Milk and processed products,74.0,3.9,4.4,4.8,51.83,22.0,1.0,111.33,0.09,0.37,352.54,0.0,14.84,0.0,"Milk cow, fresh (Fluid)",Sữa bò tươi,1,crawled,1.0,milk_cow_fresh_fluid,False,"allergen_beef,allergen_milk,role_protein"
VDD,10002,Sữa dê tươi,Milk goat's whole,Sữa và sản phẩm chế biến,Milk and processed products,69.0,3.5,4.1,4.5,51.67,20.0,3.0,147.0,0.1,0.3,50.0,0.0,14.0,0.0,Milk goat's whole,Sữa dê tươi,1,crawled,1.0,milk_goats_whole,False,allergen_milk
VDD,10003,Sữa mẹ (sữa người),"Breast milk (Milk human, fluid, whole).",Sữa và sản phẩm chế biến,Milk and processed products,61.0,1.5,3.0,7.0,90.08,1.0,6.0,34.0,0.1,0.4,15.0,0.0,2.0,0.0,"Breast milk (Milk human, fluid, whole).",Sữa mẹ (sữa người),1,crawled,1.0,breast_milk_milk_human_fluid_whole,False,allergen_milk
VDD,10004,Sữa chua,Yogurt,Sữa và sản phẩm chế biến,Milk and processed products,61.0,3.3,3.7,3.6,25.92,11.0,0.7,120.0,0.1,0.59,46.0,0.0,12.0,0.0,Yogurt,Sữa chua,1,crawled,1.0,yogurt,False,"allergen_milk,role_protein"
VDD,10005,Sữa chua vớt béo,Yogurt (Skimmed milk),Sữa và sản phẩm chế biến,Milk and processed products,26.0,3.4,0.0,3.1,4.0,0.0,1.35,143.0,0.06,0.58,68.98,0.0,20.44,0.0,Yogurt (Skimmed milk),Sữa chua vớt béo,1,crawled,1.0,yogurt_skimmed_milk,False,"allergen_milk,role_protein"
VDD,10006,Sữa bột toàn phần,"Milk, dried, whole powder",Sữa và sản phẩm chế biến,Milk and processed products,494.0,27.0,26.0,38.0,321.91,43.0,10.0,939.0,0.47,3.34,371.0,0.0,85.0,0.0,"Milk, dried, whole powder",Sữa bột toàn phần,1,crawled,1.0,milk_dried_whole_powder,False,"allergen_milk,is_dried,is_powder"
VDD,10007,Sữa bột tách béo,Skimmed milk powder,Sữa và sản phẩm chế biến,Milk and processed products,357.0,35.0,1.0,52.0,6.08,1.0,6.0,1246.0,0.45,4.08,535.0,0.0,110.0,0.0,Skimmed milk powder,Sữa bột tách béo,1,crawled,1.0,skimmed_milk_powder,False,"allergen_milk,is_powder"
VDD,10008,Sữa đặc có đường Việt Nam,Milk condensed sweetened,Sữa và sản phẩm chế biến,Milk and processed products,336.0,8.1,8.8,56.0,62.17,50.0,0.0,307.0,0.6,0.0,0.0,0.0,0.0,0.0,Milk condensed sweetened,Sữa đặc có đường Việt Nam,1,crawled,1.0,milk_condensed_sweetened,False,"allergen_milk,is_condensed_milk"
VDD,10009,Phó mát,Cheese (type whole fat),Sữa và sản phẩm chế biến,Milk and processed products,380.0,25.5,30.9,0.0,284.83,118.0,0.5,760.0,0.5,3.11,621.0,0.0,28.0,0.0,Cheese (type whole fat),Phó mát,1,crawled,1.0,cheese_type_whole_fat,False,"allergen_milk,is_cheese_butter,role_protein"
VDD,1001,"Gạo, trắng, nếp cái, sống","Rice, white, glutinous, raw",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,348.0,8.6,1.5,75.1,0.0,0.0,0.0,32.0,1.2,2.2,3.0,0.0,17.0,0.0,"Rice, white, glutinous, raw","Gạo, trắng, nếp cái, sống",1,crawled,1.0,rice_white_glutinous_raw,False,role_carb
VDD,10015,"Sữa, bò, tiệt trùng, có đường, toàn phần, trắng ","Milk, cow, steralized, with sugar, whole, white",Sữa và sản phẩm chế biến,Milk and processed products,85.0,3.9,4.4,7.34,51.83,22.0,1.0,120.0,0.1,0.4,380.0,42.0,16.0,0.0,"Milk, cow, steralized, with sugar, whole, white","Sữa, bò, tiệt trùng, có đường, toàn phần, trắng ",1,crawled,1.0,milk_cow_steralized_with_sugar_whole_white,False,"allergen_beef,allergen_milk,role_protein"
VDD,1002,"Gạo, trắng, nếp thường, sống","Rice, white, glutinous, raw",Ngũ cốc và sản phẩm chế biến,Cereals and processed products,350.0,8.4,1.6,75.4,0.0,0.0,0.0,16.0,1.2,2.2,3.0,0.0,17.0,0.0,"Rice, white, glutinous, raw","Gạo, trắng, nếp thường, sống",1,crawled,1.0,rice_white_glutinous_raw,False,role_carb
